Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
2024-07-01 00:35:00,00:35:00,CNR3487193769,Success,CID654449,Prime Sedan,HSR Layout,Ulsoor,237.0,34.0,,,No,,274,UPI,18,3.2,3.6
2024-07-01 00:35:00,00:35:00,CNR5694593144,Success,CID990357,Prime Sedan,Chamarajpet,Koramangala,61.0,64.0,,,No,,1058,Cash,1,4.3,3.7
2024-07-01 00:35:00,00:35:00,CNR9680211844,Success,CID898965,Uber Go,Ulsoor,RT Nagar,177.0,84.0,,,No,,1537,Wallet,35,4.4,3.6
2024-07-01 00:36:00,00:36:00,CNR7645502355,Success,CID321051,Uber Premier,Richmond Town,Hennur,104.0,133.0,,,No,,1104,Cash,22,4.2,3.9
2024-07-01 00:37:00,00:37:00,CNR9496677346,Canceled by Driver,CID580966,Prime SUV,Jayanagar,Jayanagar,,,,Wrong Address,,,1346,,40,,
2024-07-01 00:39:00,00:39:00,CNR1914951917,Success,CID276368,Sedan,JP Nagar,Jayanagar,37.0,54.0,,,No,,594,Cash,46,4.4,3.4
2024-07-01 00:39:00,00:39:00,CNR9709655508,Success,CID524924,Prime Sedan,Richmond Town,Marathahalli,276.0,44.0,,,No,,1385,Debit Card,18,3.8,3.0
2024-07-01 00:39:00,00:39:00,CNR7482892187,Success,CID285588,Uber Premier,Yeshwanthpur,Vijayanagar,159.0,17.0,,,No,,384,Credit Card,48,4.0,4.4
2024-07-01 00:39:00,00:39:00,CNR6622976469,Success,CID620311,Auto,Electronic City,Magadi Road,238.0,21.0,,,Yes,Route issue,339,UPI,26,3.5,3.7
2024-07-01 00:40:00,00:40:00,CNR4727780213,Canceled by Driver,CID417974,Mini,BTM Layout,Hennur,,,,Wrong Address,,,278,,40,,
2024-07-01 00:40:00,00:40:00,CNR2307803023,Success,CID305404,Prime Sedan,BTM Layout,RT Nagar,87.0,39.0,,,No,,611,Credit Card,34,4.3,3.8
2024-07-01 00:41:00,00:41:00,CNR1817677535,Canceled by Driver,CID455522,Prime Plus,Jayanagar,Bannerghatta Road,,,,Personal & Car related issue,,,2029,,44,,
2024-07-01 00:41:00,00:41:00,CNR1286677419,Driver Not Found,CID976071,Auto,Ulsoor,JP Nagar,,,,,,,2266,,23,,
2024-07-01 00:43:00,00:43:00,CNR9356985216,Success,CID120904,Auto,Hennur,Tumkur Road,256.0,109.0,,,No,,659,UPI,31,4.2,4.0
2024-07-01 00:44:00,00:44:00,CNR2648943767,Success,CID912526,Uber Premier,Rajajinagar,Whitefield,113.0,60.0,,,No,,1520,Credit Card,24,3.5,3.4
2024-07-01 00:44:00,00:44:00,CNR2028809370,Driver Not Found,CID708540,Prime Sedan,Electronic City,HSR Layout,,,,,,,392,,19,,
2024-07-01 00:44:00,00:44:00,CNR4985440404,Success,CID976104,Prime Plus,MG Road,MG Road,214.0,145.0,,,No,,765,Cash,50,4.5,4.3
2024-07-01 00:45:00,00:45:00,CNR3227311528,Canceled by Driver,CID711003,Prime Sedan,Bannerghatta Road,Richmond Town,,,,Personal & Car related issue,,,638,,0,,
2024-07-01 00:46:00,00:46:00,CNR2745817795,Success,CID219064,Sedan,Varthur,BTM Layout,36.0,146.0,,,No,,428,UPI,4,4.0,3.4
2024-07-01 00:46:00,00:46:00,CNR1860617239,Success,CID423848,Sedan,Magadi Road,Varthur,232.0,150.0,,,No,,194,Wallet,13,4.3,3.6
2024-07-01 00:46:00,00:46:00,CNR1141176919,Success,CID466839,Prime Sedan,JP Nagar,Tumkur Road,114.0,149.0,,,No,,221,Cash,36,3.7,3.8
2024-07-01 00:46:00,00:46:00,CNR8953404547,Success,CID397573,eBike,JP Nagar,HSR Layout,50.0,81.0,,,No,,388,UPI,38,4.0,4.6
2024-07-01 00:48:00,00:48:00,CNR6531242967,Success,CID240550,Prime SUV,Rajajinagar,Electronic City,229.0,149.0,,,No,,1191,Cash,11,3.9,3.3
2024-07-01 00:49:00,00:49:00,CNR5739746218,Success,CID837193,Auto,JP Nagar,Ulsoor,61.0,146.0,,,No,,735,UPI,17,4.4,4.9
2024-07-01 00:49:00,00:49:00,CNR6380166670,Success,CID289839,Auto,Sahakar Nagar,Koramangala,181.0,126.0,,,No,,479,UPI,40,4.1,3.9
2024-07-01 00:49:00,00:49:00,CNR3976327096,Success,CID770676,Prime Sedan,BTM Layout,JP Nagar,76.0,94.0,,,No,,892,Cash,3,3.8,3.3
2024-07-01 00:50:00,00:50:00,CNR2378353382,Canceled by Driver,CID688898,Prime SUV,Indiranagar,Yeshwanthpur,,,,Driver asked to cancel,,,464,,44,,
2024-07-01 00:50:00,00:50:00,CNR8782335631,Success,CID654378,Prime SUV,MG Road,MG Road,211.0,79.0,,,No,,501,UPI,10,4.1,3.4
2024-07-01 00:51:00,00:51:00,CNR6151110995,Canceled by Customer,CID677438,Bike,Sahakar Nagar,RT Nagar,,,Wrong address,,,,3140,,2,,
2024-07-01 00:52:00,00:52:00,CNR8147379303,Success,CID629451,Bike,Electronic City,Electronic City,212.0,10.0,,,No,,647,Debit Card,40,3.9,4.8
2024-07-01 00:53:00,00:53:00,CNR8085036654,Canceled by Driver,CID734034,Uber Go,Bannerghatta Road,Bannerghatta Road,,,,Personal & Car related issue,,,1452,,25,,
2024-07-01 00:54:00,00:54:00,CNR1997737670,Success,CID540136,Sedan,Richmond Town,Varthur,122.0,97.0,,,No,,637,Debit Card,46,4.0,4.6
2024-07-01 00:54:00,00:54:00,CNR7888628094,Canceled by Customer,CID734642,Mini,Sahakar Nagar,Vijayanagar,,,Change of plans,,,,2334,,44,,
2024-07-01 00:55:00,00:55:00,CNR6082649305,Success,CID717318,eBike,Koramangala,Sahakar Nagar,37.0,106.0,,,No,,540,UPI,23,3.9,4.7
2024-07-01 00:55:00,00:55:00,CNR6653300859,Canceled by Driver,CID496224,Prime Plus,Koramangala,Marathahalli,,,,The driver was not moving towards pickup,,,591,,19,,
2024-07-01 00:55:00,00:55:00,CNR6120977159,Driver Not Found,CID684548,Prime SUV,MG Road,Richmond Town,,,,,,,656,,36,,
2024-07-01 00:56:00,00:56:00,CNR1623544138,Driver Not Found,CID856482,Mini,Sahakar Nagar,Hennur,,,,,,,830,,29,,
2024-07-01 00:56:00,00:56:00,CNR8437937079,Canceled by Driver,CID321917,Uber Premier,Varthur,Magadi Road,,,,Driver asked to cancel,,,144,,0,,
2024-07-01 00:57:00,00:57:00,CNR3972363883,Driver Not Found,CID812212,Uber Go,JP Nagar,Indiranagar,,,,,,,309,,28,,
2024-07-01 00:57:00,00:57:00,CNR2483414204,Success,CID829337,Prime SUV,BTM Layout,Vijayanagar,234.0,14.0,,,No,,1282,UPI,38,3.9,3.8
2024-07-01 00:57:00,00:57:00,CNR7898914188,Success,CID502535,Prime SUV,Whitefield,Marathahalli,111.0,115.0,,,No,,777,Cash,10,3.8,3.7
2024-07-01 00:58:00,00:58:00,CNR9932443379,Success,CID739503,Prime SUV,MG Road,Whitefield,36.0,45.0,,,Yes,Customer demand,543,UPI,17,3.9,4.3
2024-07-01 00:59:00,00:59:00,CNR2576953188,Canceled by Driver,CID540008,Uber Premier,Hennur,Jayanagar,,,,The driver was not moving towards pickup,,,511,,3,,
2024-07-01 00:59:00,00:59:00,CNR1081500074,Success,CID983623,Bike,Hennur,Whitefield,83.0,116.0,,,No,,391,UPI,32,4.7,4.6
2024-07-01 00:59:00,00:59:00,CNR6642478625,Canceled by Driver,CID311126,Bike,Richmond Town,Jayanagar,,,,Wrong Address,,,1508,,31,,
2024-07-01 00:59:00,00:59:00,CNR7022438155,Success,CID901377,Uber Premier,Yeshwanthpur,Rajajinagar,144.0,51.0,,,No,,927,Wallet,11,3.9,3.5
2024-07-01 00:59:00,00:59:00,CNR9467084616,Canceled by Driver,CID586805,Prime Sedan,Chamarajpet,Varthur,,,,The driver was not moving towards pickup,,,717,,11,,
2024-07-01 01:00:00,01:00:00,CNR4585421183,Driver Not Found,CID290183,Bike,BTM Layout,Varthur,,,,,,,393,,46,,
2024-07-01 01:00:00,01:00:00,CNR4732703202,Success,CID187905,Bike,Marathahalli,Koramangala,207.0,118.0,,,No,,232,UPI,4,4.3,5.0
2024-07-01 01:00:00,01:00:00,CNR7464477490,Driver Not Found,CID480625,Uber Premier,Richmond Town,Electronic City,,,,,,,116,,30,,
2024-07-01 01:01:00,01:01:00,CNR4731716177,Success,CID311633,Uber Premier,Vijayanagar,RT Nagar,68.0,22.0,,,No,,417,Wallet,46,3.4,4.4
2024-07-01 01:01:00,01:01:00,CNR1093934974,Success,CID387854,Prime Sedan,Electronic City,Magadi Road,227.0,34.0,,,No,,1005,UPI,24,4.4,4.1
2024-07-01 01:01:00,01:01:00,CNR9194474254,Success,CID804186,Mini,Whitefield,Richmond Town,115.0,147.0,,,No,,1055,Cash,33,3.4,4.7
2024-07-01 01:02:00,01:02:00,CNR6472535017,Canceled by Customer,CID747710,Uber Premier,Jayanagar,JP Nagar,,,AC not working,,,,301,,13,,
2024-07-01 01:03:00,01:03:00,CNR6049610221,Canceled by Customer,CID226210,Prime Sedan,Sahakar Nagar,Tumkur Road,,,Wrong address,,,,546,,40,,
2024-07-01 01:03:00,01:03:00,CNR5511313260,Success,CID930083,Prime Plus,Bannerghatta Road,Ulsoor,145.0,14.0,,,No,,416,UPI,42,4.3,4.3
2024-07-01 01:03:00,01:03:00,CNR7818310074,Success,CID253519,Bike,Yeshwanthpur,Jayanagar,184.0,73.0,,,No,,172,Debit Card,31,3.9,3.6
2024-07-01 01:04:00,01:04:00,CNR8151165332,Success,CID402866,Auto,Hennur,MG Road,179.0,117.0,,,No,,650,Wallet,2,3.9,3.3
2024-07-01 01:04:00,01:04:00,CNR6151987059,Success,CID690492,eBike,Varthur,Vijayanagar,219.0,99.0,,,No,,1121,UPI,34,4.5,2.9
2024-07-01 01:06:00,01:06:00,CNR4140253340,Canceled by Driver,CID430556,Sedan,MG Road,Sahakar Nagar,,,,Vehicle breakdown,,,557,,28,,
2024-07-01 01:07:00,01:07:00,CNR2359429165,Success,CID704933,Bike,Yeshwanthpur,Hennur,236.0,64.0,,,No,,421,UPI,24,4.2,3.7
2024-07-01 01:08:00,01:08:00,CNR9835523889,Success,CID594719,Prime SUV,Tumkur Road,Hennur,232.0,53.0,,,No,,869,Cash,47,3.6,3.6
2024-07-01 01:08:00,01:08:00,CNR7614650515,Canceled by Driver,CID441434,Bike,Koramangala,Whitefield,,,,The driver was not moving towards pickup,,,383,,4,,
2024-07-01 01:08:00,01:08:00,CNR1051728935,Success,CID677683,Mini,Jayanagar,Magadi Road,260.0,93.0,,,No,,688,Cash,24,3.8,4.1
2024-07-01 01:09:00,01:09:00,CNR6589885836,Canceled by Driver,CID594255,Prime Plus,Hennur,Jayanagar,,,,Personal & Car related issue,,,524,,30,,
